id;file;predicted_keys;true_labels;true_positive;false_negative;false_positive;f1_score;recall;precision;
57;2184.txt;42;5;2;3;40;0.0851063829787234;0.4;0.047619047619047616;
58;2189.txt;31;5;2;3;29;0.1111111111111111;0.4;0.06451612903225806;
59;219.txt;10;7;1;6;9;0.11764705882352941;0.14285714285714285;0.1;
60;2192.txt;29;11;4;7;25;0.2;0.36363636363636365;0.13793103448275862;
61;2194.txt;22;11;2;9;20;0.12121212121212122;0.18181818181818182;0.09090909090909091;
62;2199.txt;21;13;5;8;16;0.29411764705882354;0.38461538461538464;0.23809523809523808;
63;22.txt;24;11;1;10;23;0.05714285714285714;0.09090909090909091;0.041666666666666664;
64;224.txt;20;6;1;5;19;0.07692307692307693;0.16666666666666666;0.05;
65;229.txt;7;3;0;3;7;0.0;0.0;0.0;
66;232.txt;40;21;1;20;39;0.03278688524590164;0.047619047619047616;0.025;
67;234.txt;14;13;0;13;14;0.0;0.0;0.0;
68;239.txt;74;9;4;5;70;0.0963855421686747;0.4444444444444444;0.05405405405405406;
69;24.txt;19;12;5;7;14;0.3225806451612903;0.4166666666666667;0.2631578947368421;
70;242.txt;28;8;1;7;27;0.05555555555555555;0.125;0.03571428571428571;
71;244.txt;36;7;3;4;33;0.13953488372093023;0.42857142857142855;0.08333333333333333;
72;249.txt;33;15;0;15;33;0.0;0.0;0.0;
73;252.txt;45;18;2;16;43;0.06349206349206349;0.1111111111111111;0.044444444444444446;
74;254.txt;33;10;4;6;29;0.18604651162790697;0.4;0.12121212121212122;
75;259.txt;54;20;7;13;47;0.1891891891891892;0.35;0.12962962962962962;
76;262.txt;21;15;2;13;19;0.1111111111111111;0.13333333333333333;0.09523809523809523;
77;264.txt;40;13;3;10;37;0.11320754716981132;0.23076923076923078;0.075;
78;269.txt;76;21;10;11;66;0.20618556701030927;0.47619047619047616;0.13157894736842105;
79;272.txt;60;18;5;13;55;0.1282051282051282;0.2777777777777778;0.08333333333333333;
80;274.txt;55;29;0;29;55;0.0;0.0;0.0;
81;279.txt;64;20;7;13;57;0.16666666666666666;0.35;0.109375;
82;282.txt;33;12;6;6;27;0.26666666666666666;0.5;0.18181818181818182;
83;284.txt;45;23;5;18;40;0.14705882352941177;0.21739130434782608;0.1111111111111111;
84;289.txt;45;21;3;18;42;0.09090909090909091;0.14285714285714285;0.06666666666666667;
85;29.txt;75;23;7;16;68;0.14285714285714285;0.30434782608695654;0.09333333333333334;
86;292.txt;60;23;3;20;57;0.07228915662650602;0.13043478260869565;0.05;
87;294.txt;42;14;3;11;39;0.10714285714285714;0.21428571428571427;0.07142857142857142;
88;299.txt;23;8;2;6;21;0.12903225806451613;0.25;0.08695652173913043;
