id;file;predicted_keys;true_labels;true_positive;false_negative;false_positive;f1_score;recall;precision;
52;2169.txt;20;7;2;5;18;0.14814814814814814;0.2857142857142857;0.1;
53;2172.txt;51;12;4;8;47;0.12698412698412698;0.3333333333333333;0.0784313725490196;
54;2174.txt;18;7;0;7;18;0.0;0.0;0.0;
55;2179.txt;85;13;5;8;80;0.10204081632653061;0.38461538461538464;0.058823529411764705;
56;2182.txt;68;8;2;6;66;0.05263157894736842;0.25;0.029411764705882353;
57;2184.txt;48;5;2;3;46;0.07547169811320754;0.4;0.041666666666666664;
58;2189.txt;25;5;2;3;23;0.13333333333333333;0.4;0.08;
59;219.txt;2;7;0;7;2;0.0;0.0;0.0;
60;2192.txt;40;11;3;8;37;0.11764705882352941;0.2727272727272727;0.075;
61;2194.txt;13;11;3;8;10;0.25;0.2727272727272727;0.23076923076923078;
62;2199.txt;37;13;6;7;31;0.24;0.46153846153846156;0.16216216216216217;
63;22.txt;25;11;1;10;24;0.05555555555555555;0.09090909090909091;0.04;
64;224.txt;33;6;2;4;31;0.10256410256410256;0.3333333333333333;0.06060606060606061;
65;229.txt;8;3;1;2;7;0.18181818181818182;0.3333333333333333;0.125;
66;232.txt;80;21;4;17;76;0.07920792079207921;0.19047619047619047;0.05;
67;234.txt;44;13;4;9;40;0.14035087719298245;0.3076923076923077;0.09090909090909091;
68;239.txt;61;9;5;4;56;0.14285714285714285;0.5555555555555556;0.08196721311475409;
69;24.txt;30;12;5;7;25;0.23809523809523808;0.4166666666666667;0.16666666666666666;
70;242.txt;49;8;2;6;47;0.07017543859649122;0.25;0.04081632653061224;
71;244.txt;45;7;3;4;42;0.11538461538461539;0.42857142857142855;0.06666666666666667;
72;249.txt;39;15;0;15;39;0.0;0.0;0.0;
73;252.txt;52;18;1;17;51;0.02857142857142857;0.05555555555555555;0.019230769230769232;
74;254.txt;42;10;4;6;38;0.15384615384615385;0.4;0.09523809523809523;
75;259.txt;65;20;8;12;57;0.18823529411764706;0.4;0.12307692307692308;
76;262.txt;45;15;8;7;37;0.26666666666666666;0.5333333333333333;0.17777777777777778;
77;264.txt;73;13;7;6;66;0.16279069767441862;0.5384615384615384;0.0958904109589041;
78;269.txt;80;21;10;11;70;0.19801980198019803;0.47619047619047616;0.125;
79;272.txt;67;18;5;13;62;0.11764705882352941;0.2777777777777778;0.07462686567164178;
80;274.txt;65;29;0;29;65;0.0;0.0;0.0;
81;279.txt;77;20;9;11;68;0.18556701030927836;0.45;0.11688311688311688;
82;282.txt;47;12;7;5;40;0.23728813559322035;0.5833333333333334;0.14893617021276595;
83;284.txt;70;23;7;16;63;0.15053763440860216;0.30434782608695654;0.1;
84;289.txt;55;21;5;16;50;0.13157894736842105;0.23809523809523808;0.09090909090909091;
85;29.txt;84;23;7;16;77;0.1308411214953271;0.30434782608695654;0.08333333333333333;
86;292.txt;90;23;4;19;86;0.07079646017699115;0.17391304347826086;0.044444444444444446;
87;294.txt;65;14;3;11;62;0.0759493670886076;0.21428571428571427;0.046153846153846156;
88;299.txt;41;8;2;6;39;0.08163265306122448;0.25;0.04878048780487805;
89;APCollegePhysics-OP_js6ZFp7.txt;6301;104;70;34;6231;0.02185792349726776;0.6730769230769231;0.011109347722583717;
90;J-1.txt;685;15;6;9;679;0.017142857142857144;0.4;0.008759124087591242;
91;J-10.txt;1072;14;4;10;1068;0.007366482504604052;0.2857142857142857;0.0037313432835820895;
92;J-11.txt;939;17;7;10;932;0.014644351464435146;0.4117647058823529;0.007454739084132056;
93;J-13.txt;686;14;3;11;683;0.008571428571428572;0.21428571428571427;0.004373177842565598;
94;J-14.txt;754;13;6;7;748;0.01564537157757497;0.46153846153846156;0.007957559681697613;
95;J-15.txt;1258;9;2;7;1256;0.0031570639305445935;0.2222222222222222;0.001589825119236884;
96;J-17.txt;881;13;5;8;876;0.011185682326621925;0.38461538461538464;0.0056753688989784334;
97;J-18.txt;645;13;4;9;641;0.0121580547112462;0.3076923076923077;0.006201550387596899;
98;J-4.txt;829;13;8;5;821;0.019002375296912115;0.6153846153846154;0.009650180940892641;
99;J-7.txt;880;16;3;13;877;0.006696428571428571;0.1875;0.003409090909090909;
100;J-8.txt;568;23;11;12;557;0.03722504230118443;0.4782608695652174;0.01936619718309859;
101;J-9.txt;980;29;19;10;961;0.03766105054509415;0.28637693406030473;0.06439269990559053;
