id;file;predicted_keys;true_labels;true_positive;false_negative;false_positive;f1_score;recall;precision;
45;2144.txt;8;7;2;5;6;0.26666666666666666;0.2857142857142857;0.25;
46;2149.txt;12;6;2;4;10;0.2222222222222222;0.3333333333333333;0.16666666666666666;
47;2152.txt;23;12;4;8;19;0.22857142857142856;0.3333333333333333;0.17391304347826086;
48;2154.txt;24;12;1;11;23;0.05555555555555555;0.08333333333333333;0.041666666666666664;
49;2159.txt;25;12;3;9;22;0.16216216216216217;0.25;0.12;
50;2162.txt;15;8;1;7;14;0.08695652173913043;0.125;0.06666666666666667;
51;2164.txt;18;7;0;7;18;0.0;0.0;0.0;
52;2169.txt;8;7;2;5;6;0.26666666666666666;0.2857142857142857;0.25;
53;2172.txt;23;12;2;10;21;0.11428571428571428;0.16666666666666666;0.08695652173913043;
54;2174.txt;5;7;0;7;5;0.0;0.0;0.0;
55;2179.txt;35;13;4;9;31;0.16666666666666666;0.3076923076923077;0.11428571428571428;
56;2182.txt;17;8;1;7;16;0.08;0.125;0.058823529411764705;
57;2184.txt;17;5;2;3;15;0.18181818181818182;0.4;0.11764705882352941;
58;2189.txt;15;5;3;2;12;0.3;0.6;0.2;
59;219.txt;0;7;0;7;0;0.0;0.0;;
60;2192.txt;18;11;3;8;15;0.20689655172413793;0.2727272727272727;0.16666666666666666;
61;2194.txt;11;11;1;10;10;0.09090909090909091;0.09090909090909091;0.09090909090909091;
62;2199.txt;18;13;4;9;14;0.25806451612903225;0.3076923076923077;0.2222222222222222;
63;22.txt;15;11;1;10;14;0.07692307692307693;0.09090909090909091;0.06666666666666667;
64;224.txt;13;6;2;4;11;0.21052631578947367;0.3333333333333333;0.15384615384615385;
65;229.txt;8;3;1;2;7;0.18181818181818182;0.3333333333333333;0.125;
66;232.txt;32;21;2;19;30;0.07547169811320754;0.09523809523809523;0.0625;
67;234.txt;21;13;4;9;17;0.23529411764705882;0.3076923076923077;0.19047619047619047;
68;239.txt;32;9;4;5;28;0.1951219512195122;0.4444444444444444;0.125;
69;24.txt;16;12;6;6;10;0.42857142857142855;0.5;0.375;
70;242.txt;12;8;2;6;10;0.2;0.25;0.16666666666666666;
71;244.txt;23;7;4;3;19;0.26666666666666666;0.5714285714285714;0.17391304347826086;
72;249.txt;12;15;0;15;12;0.0;0.0;0.0;
73;252.txt;5;18;0;18;5;0.0;0.0;0.0;
74;254.txt;2;10;0;10;2;0.0;0.0;0.0;
75;259.txt;29;20;5;15;24;0.20408163265306123;0.25;0.1724137931034483;
76;262.txt;16;15;4;11;12;0.25806451612903225;0.26666666666666666;0.25;
77;264.txt;18;13;7;6;11;0.45161290322580644;0.5384615384615384;0.3888888888888889;
78;269.txt;24;21;6;15;18;0.26666666666666666;0.2857142857142857;0.25;
79;272.txt;25;18;2;16;23;0.09302325581395349;0.1111111111111111;0.08;
80;274.txt;18;29;0;29;18;0.0;0.0;0.0;
81;279.txt;31;20;6;14;25;0.23529411764705882;0.3;0.1935483870967742;
82;282.txt;11;12;4;8;7;0.34782608695652173;0.3333333333333333;0.36363636363636365;
83;284.txt;31;23;3;20;28;0.1111111111111111;0.13043478260869565;0.0967741935483871;
84;289.txt;27;21;3;18;24;0.125;0.14285714285714285;0.1111111111111111;
85;29.txt;33;23;7;16;26;0.25;0.30434782608695654;0.21212121212121213;
86;292.txt;48;23;4;19;44;0.11267605633802817;0.17391304347826086;0.08333333333333333;
87;294.txt;30;14;3;11;27;0.13636363636363635;0.21428571428571427;0.1;
88;299.txt;16;8;2;6;14;0.16666666666666666;0.25;0.125;
89;APCollegePhysics-OP_js6ZFp7.txt;812;104;58;46;754;0.12663755458515283;0.5576923076923077;0.07142857142857142;
90;J-1.txt;86;15;3;12;83;0.0594059405940594;0.2;0.03488372093023256;
91;J-10.txt;93;14;2;12;91;0.037383177570093455;0.14285714285714285;0.021505376344086023;
92;J-11.txt;91;17;4;13;87;0.07407407407407407;0.23529411764705882;0.04395604395604396;
93;J-13.txt;75;14;1;13;74;0.02247191011235955;0.07142857142857142;0.013333333333333334;
94;J-14.txt;68;13;4;9;64;0.09876543209876543;0.3076923076923077;0.058823529411764705;
95;J-15.txt;122;9;1;8;121;0.015267175572519083;0.1111111111111111;0.00819672131147541;
96;J-17.txt;88;13;5;8;83;0.09900990099009901;0.38461538461538464;0.056818181818181816;
97;J-18.txt;61;13;4;9;57;0.10810810810810811;0.3076923076923077;0.06557377049180328;
98;J-4.txt;85;13;5;8;80;0.10204081632653061;0.38461538461538464;0.058823529411764705;
99;J-7.txt;92;16;1;15;91;0.018518518518518517;0.0625;0.010869565217391304;
100;J-8.txt;100;23;6;17;94;0.0975609756097561;0.2608695652173913;0.06;
101;J-9.txt;138;29;13;16;125;0.15568862275449102;0.23558773437523509;0.13057485010417996;
